,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Stool,"Medical, Health",Drug Items,"Medical, Health"
,Streptococcus,"Medical, Health",Drug Items,"Medical, Health"
,Syphillis Tests,"Medical, Health",Drug Items,"Medical, Health"
,Trypanosomiasis,"Medical, Health",Drug Items,"Medical, Health"
,Urine Tests,"Medical, Health",Drug Items,"Medical, Health"
,Vibrio Cholerae,"Medical, Health",Drug Items,"Medical, Health"
,External Ophtalmic Drugs (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,Chloramphenicol (External Ophtalmic Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Delegates (External Ophtalmic Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,FLUOROSCEINE SODIU,"Medical, Health",Drug Items,"Medical, Health"
,Gentamycine (External Ophtalmic Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Homatropine Hydrobromide,"Medical, Health",Drug Items,"Medical, Health"
,OFLOXACIN,"Medical, Health",Drug Items,"Medical, Health"
,Oxybuprocaine Hydochloride,"Medical, Health",Drug Items,"Medical, Health"
,PILOCARPINE,"Medical, Health",Drug Items,"Medical, Health"
,Prednisolone (External Ophtalmic Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Silver Nitrate (External Ophtalmic Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Tetracaine (Amethoca?ne),"Medical, Health",Drug Items,"Medical, Health"
,Tetracycline (External Ophtalmic Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,TIMOLOL,"Medical, Health",Drug Items,"Medical, Health"
,External Use Drugs (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,ACICLOVIR (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Antihaemorroid,"Medical, Health",Drug Items,"Medical, Health"
,Artemisine and derivates (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,BARIUM,"Medical, Health",Drug Items,"Medical, Health"
,BECLOMETASONE (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Benzoic & Salicylic Acid,"Medical, Health",Drug Items,"Medical, Health"
,Benzyl Benzoate,"Medical, Health",Drug Items,"Medical, Health"
