,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,CHLORPHENIRAMINE (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Clindamycin (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,CLONIDINE,"Medical, Health",Drug Items,"Medical, Health"
,Cloxacillin (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Cyclophosphamide,"Medical, Health",Drug Items,"Medical, Health"
,Dantrolene,"Medical, Health",Drug Items,"Medical, Health"
,Delegates (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Dexamethazone (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Dextrose Infusions (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Diclofenac Sodium (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Digoxin (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,DIMETHYLAMINOPHENO,"Medical, Health",Drug Items,"Medical, Health"
,Dopamine,"Medical, Health",Drug Items,"Medical, Health"
,Eflornithine,"Medical, Health",Drug Items,"Medical, Health"
,ENOXAPARIN,"Medical, Health",Drug Items,"Medical, Health"
,Ephedrine,"Medical, Health",Drug Items,"Medical, Health"
,Epinephedrine (Adrenaline),"Medical, Health",Drug Items,"Medical, Health"
,Epoetin alfa,"Medical, Health",Drug Items,"Medical, Health"
,Ergometrine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Fentanyl,"Medical, Health",Drug Items,"Medical, Health"
,Flumazenil,"Medical, Health",Drug Items,"Medical, Health"
,Furosemide (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Gentamycine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Glycopyrronium,"Medical, Health",Drug Items,"Medical, Health"
,Heparin,"Medical, Health",Drug Items,"Medical, Health"
,Hydralazine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Hydrocortisone (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Hydroxocobalamine,"Medical, Health",Drug Items,"Medical, Health"
,Imipenem + Cilastatin,"Medical, Health",Drug Items,"Medical, Health"
,Insulin Humane,"Medical, Health",Drug Items,"Medical, Health"
,ISOSORBIDE (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,KANAMYCIN SULFATE,"Medical, Health",Drug Items,"Medical, Health"
,Ketamine,"Medical, Health",Drug Items,"Medical, Health"
,Levonorgestrel (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Lidocaine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Magnesium Sulfate,"Medical, Health",Drug Items,"Medical, Health"
,"Medic Nuclear, Radiologi (Injections (Drugs))","Medical, Health",Drug Items,"Medical, Health"
,Medroxyprogesterone acetate,"Medical, Health",Drug Items,"Medical, Health"
,Meglumine,"Medical, Health",Drug Items,"Medical, Health"
,Melarsoprol,"Medical, Health",Drug Items,"Medical, Health"
,Meropenem,"Medical, Health",Drug Items,"Medical, Health"
,Mesna,"Medical, Health",Drug Items,"Medical, Health"
,Metoclopamide (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Metoprolol (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,MIDAZOLAM,"Medical, Health",Drug Items,"Medical, Health"
,Morphine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Multidrug Resistant (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Multivitamine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Naloxone,"Medical, Health",Drug Items,"Medical, Health"
,Neostigmine Methylsulfate,"Medical, Health",Drug Items,"Medical, Health"
,Norethisterone (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Omeprazol (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Ondansetron,"Medical, Health",Drug Items,"Medical, Health"
,Oxytocin (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Paracetamol (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Paromomycin,"Medical, Health",Drug Items,"Medical, Health"
,Penicillin (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Pentamidine Isethionate,"Medical, Health",Drug Items,"Medical, Health"
,Pentazocine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Pethidine,"Medical, Health",Drug Items,"Medical, Health"
,Phenobarbital (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Phenytoin Sodium (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Phytomenadione,"Medical, Health",Drug Items,"Medical, Health"
,Potassium Chloride (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Prednisolone (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Prifinium (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Promethazine Hydrochloride (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Propofol,"Medical, Health",Drug Items,"Medical, Health"
,Protamine,"Medical, Health",Drug Items,"Medical, Health"
,PSYC (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Quinine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Ranitidine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Rocuronium,"Medical, Health",Drug Items,"Medical, Health"
,Salbutamol (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Sodium Bicarbonate,"Medical, Health",Drug Items,"Medical, Health"
,Sodium Chloride (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Sodium Fusidate (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Sodium Stibogluconate,"Medical, Health",Drug Items,"Medical, Health"
,SODIUM THIOSULPHAT,"Medical, Health",Drug Items,"Medical, Health"
,Spectinomycin,"Medical, Health",Drug Items,"Medical, Health"
,Streptomycin Sulfate,"Medical, Health",Drug Items,"Medical, Health"
,Sugammadex,"Medical, Health",Drug Items,"Medical, Health"
,Suramine Sodium,"Medical, Health",Drug Items,"Medical, Health"
,Suxamethonium Chloride,"Medical, Health",Drug Items,"Medical, Health"
,Thiamine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Thiopental Sodium,"Medical, Health",Drug Items,"Medical, Health"
,Tramadol (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Tranexamic Acid,"Medical, Health",Drug Items,"Medical, Health"
,TYLOSIN (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Vancomycin,"Medical, Health",Drug Items,"Medical, Health"
,Vecuronium Bromide,"Medical, Health",Drug Items,"Medical, Health"
,Water (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Zuclopenthixol,"Medical, Health",Drug Items,"Medical, Health"
,Miscellaneous (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,Miscellanous Items (Miscellaneous (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Oral Drugs (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,Acenocoumarol,"Medical, Health",Drug Items,"Medical, Health"
,Acetazolamide,"Medical, Health",Drug Items,"Medical, Health"
,Acethylsalicylic Acid (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,ACICLOVIR (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Albenidazole (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Allopurinol,"Medical, Health",Drug Items,"Medical, Health"
,Aluminium Hydroxide Oral,"Medical, Health",Drug Items,"Medical, Health"
,Aluminium Hydroxyde + Magnesiu,"Medical, Health",Drug Items,"Medical, Health"
,Amidotrizoate (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Aminophylline (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Amiodarone (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,AMLODIPINE,"Medical, Health",Drug Items,"Medical, Health"
,Amoxycillin + Acid Clavulanique (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Amoxycillin Oral (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,AMPHOTERICIN (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Antiretrovirals,"Medical, Health",Drug Items,"Medical, Health"
,Artemether + Lumefantrine,"Medical, Health",Drug Items,"Medical, Health"
,Artemisine and derivates (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Ascorbic Acid,"Medical, Health",Drug Items,"Medical, Health"
,Atenolol (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Azithromycin,"Medical, Health",Drug Items,"Medical, Health"
,BACLOFEN,"Medical, Health",Drug Items,"Medical, Health"
,BECLOMETASONE (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Bisacodyl,"Medical, Health",Drug Items,"Medical, Health"
,Bisoprolol,"Medical, Health",Drug Items,"Medical, Health"
,Butylhyoscine (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Captopril,"Medical, Health",Drug Items,"Medical, Health"
,Cefalexine,"Medical, Health",Drug Items,"Medical, Health"
,Cefixime,"Medical, Health",Drug Items,"Medical, Health"
,CETIRIZINE,"Medical, Health",Drug Items,"Medical, Health"
,Charcoal (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Chloramphenicol (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Chloroquine (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,CHLORPHENIRAMINE (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Cimetidine,"Medical, Health",Drug Items,"Medical, Health"
,Ciprofloxacine Hydrochloride (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,CLARITHROMYCINE,"Medical, Health",Drug Items,"Medical, Health"
,Clindamycin (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Clofazimine,"Medical, Health",Drug Items,"Medical, Health"
,CLOMIPRAMINE,"Medical, Health",Drug Items,"Medical, Health"
,CLOPIDOGREL,"Medical, Health",Drug Items,"Medical, Health"
,Cloxacillin (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Codeine,"Medical, Health",Drug Items,"Medical, Health"
,Cotrimoxazole Oral,"Medical, Health",Drug Items,"Medical, Health"
,Dapsone,"Medical, Health",Drug Items,"Medical, Health"
,Delegates (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Dexamethazone (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Diclofenac Sodium (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Diethylcarbamazine,"Medical, Health",Drug Items,"Medical, Health"
,Digoxin (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Diloxanide,"Medical, Health",Drug Items,"Medical, Health"
,Doxycicline Oral (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,ENALAPRIL,"Medical, Health",Drug Items,"Medical, Health"
,Ergometrine (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Erythromycin,"Medical, Health",Drug Items,"Medical, Health"
,Ethambuthol,"Medical, Health",Drug Items,"Medical, Health"
,Ethinyloestradiol,"Medical, Health",Drug Items,"Medical, Health"
,Expectorant,"Medical, Health",Drug Items,"Medical, Health"
,Famotidine,"Medical, Health",Drug Items,"Medical, Health"
,Ferrous Sulfate & Folic Acid,"Medical, Health",Drug Items,"Medical, Health"
,Fluconazole (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Folic Acid,"Medical, Health",Drug Items,"Medical, Health"
,Furosemide (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Gabapentin,"Medical, Health",Drug Items,"Medical, Health"
,Glibenclamide,"Medical, Health",Drug Items,"Medical, Health"
,Gliclazide,"Medical, Health",Drug Items,"Medical, Health"
,GLIMEPIRIDE,"Medical, Health",Drug Items,"Medical, Health"
,Glyceryl Trinitrate,"Medical, Health",Drug Items,"Medical, Health"
,GRISEOFULVINE,"Medical, Health",Drug Items,"Medical, Health"
,Hydralazine (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Hydrochlorothiazide,"Medical, Health",Drug Items,"Medical, Health"
,Ibuprofen,"Medical, Health",Drug Items,"Medical, Health"
,Immunossupressive,"Medical, Health",Drug Items,"Medical, Health"
,Indapamide,"Medical, Health",Drug Items,"Medical, Health"
,IODINE,"Medical, Health",Drug Items,"Medical, Health"
,Isoniazid,"Medical, Health",Drug Items,"Medical, Health"
,ISOSORBIDE (Oral Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
